AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.06666666666668, AvgPanic: 13.333333333333336, AvgPatience: 96.88888888888887, DeathCount: 0.0, EscapeeCount: 16.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 99.06666666666668, AvgPanic: 13.333333333333336, AvgPatience: 96.88888888888887, DeathCount: 0.0, EscapeeCount: 16.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 96.88888888888887, DeathCount: 0.0, EscapeeCount: 16.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 96.88888888888887, DeathCount: 0.0, EscapeeCount: 17.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.1111111111111, DeathCount: 0.0, EscapeeCount: 17.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.44444444444444, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.1111111111111, DeathCount: 0.0, EscapeeCount: 17.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.1111111111111, DeathCount: 0.0, EscapeeCount: 19.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.7777777777778, DeathCount: 0.0, EscapeeCount: 19.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 19.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 19.0
